priority,machine_id,alert_level,action_type,cost_at_risk,urgency_score,window_days,expected_savings,suggestion
1,CNC_025,ALARM,preventive_repair,17043.00,100.00,1,11930.10,"[高风险等级] 1日内执行预防性维修。日产值风险：$7,410。立即处理可避免紧急维修成本约：~$11,930。重点关注：Parameters out of range: Amperage (z=7.8)"
2,CNC_012,ALARM,preventive_repair,16493.40,100.00,3,11545.38,"[高风险等级] 3日内执行预防性维修。日产值风险：$7,854。立即处理可避免紧急维修成本约：~$11,545。重点关注：High-cost machine ($5,498 at risk) at ALARM level"
3,CNC_067,ALARM,immediate_shutdown,16401.00,100.00,0,11480.70,"*** 立即停机 *** 参数偏离已达临界值。日产值暴露：$7,455。启动应急预案，立即联系维护主管。根因推测：CRITICAL: Z-score max = 10.7 — extreme deviation from baseline。"
4,CNC_089,ALARM,preventive_repair,15663.00,100.00,3,10964.10,"[中风险等级] 3日内执行预防性维修。日产值风险：$6,810。立即处理可避免紧急维修成本约：~$10,964。重点关注：Parameters out of range: Voltage (z=3.0), Amperage (z=3.3)"
5,CNC_019,ALARM,schedule_inspection,14079.00,85.00,7,9855.30,"[中风险等级] 7日内安排检查。重点项：Parameters out of range: Voltage (z=-3.3), Temperature (z=2.9)。日产值风险：$7,410。建议检查项：电气特征分析、热成像、物理检查。"
6,CNC_081,ALARM,schedule_inspection,12775.60,85.00,7,8942.92,"[低风险等级] 7日内安排检查。重点项：Parameters out of range: Temperature (z=4.6)。日产值风险：$6,724。建议检查项：电气特征分析、热成像、物理检查。"
7,CNC_043,ALARM,schedule_inspection,12170.40,85.00,7,8519.28,"[低风险等级] 7日内安排检查。重点项：Parameters out of range: Temperature (z=-4.3)。日产值风险：$5,532。建议检查项：电气特征分析、热成像、物理检查。"
8,CNC_063,ALARM,preventive_repair,11875.20,85.00,1,8312.64,"[低风险等级] 1日内执行预防性维修。日产值风险：$4,948。立即处理可避免紧急维修成本约：~$8,313。重点关注：Parameters out of range: Voltage (z=6.4), Temperature (z=-5.4)"
9,CNC_005,ALARM,schedule_inspection,10829.00,85.00,7,7580.30,"[低风险等级] 7日内安排检查。重点项：Parameters out of range: Temperature (z=2.9)。日产值风险：$4,165。建议检查项：电气特征分析、热成像、物理检查。"
10,CNC_085,WARNING,increase_monitoring,19323.20,66.00,14,13526.24,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
11,CNC_034,WARNING,increase_monitoring,18781.80,66.00,14,13147.26,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
12,CNC_087,WARNING,increase_monitoring,18652.80,66.00,14,13056.96,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
13,CNC_064,WARNING,increase_monitoring,18308.00,66.00,14,12815.60,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
14,CNC_036,WARNING,increase_monitoring,18080.00,66.00,14,12656.00,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
15,CNC_033,WARNING,increase_monitoring,16684.80,66.00,14,11679.36,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
16,CNC_013,WARNING,increase_monitoring,16228.80,66.00,14,11360.16,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
17,CNC_054,WARNING,increase_monitoring,15927.50,66.00,14,11149.25,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
18,CNC_097,WARNING,increase_monitoring,15704.40,66.00,14,10993.08,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
19,CNC_091,WARNING,increase_monitoring,15645.00,66.00,14,10951.50,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
20,CNC_042,WARNING,increase_monitoring,15398.50,66.00,14,10778.95,"加密监控至每14日一次。跟踪指标：WARNING: elevated parameters, no clear degradation pattern。如参数继续偏移，升级为安排检查。"
